Sample	GRS
Sample_17	2.31
Sample_71	2.30
Sample_75	2.47
Sample_51	2.52
Sample_138	2.52
Sample_45	2.41
Sample_5	2.30
Sample_82	2.43
Sample_148	2.26
Sample_200	2.10
Sample_22	2.29
Sample_41	2.33
Sample_150	2.30
Sample_31	2.35
Sample_194	2.39
Sample_8	2.19
Sample_93	2.28
Sample_161	2.25
Sample_182	2.21
Sample_107	2.09
Sample_179	2.44
Sample_129	2.22
Sample_174	2.34
Sample_102	2.68
Sample_122	2.38
Sample_127	2.16
Sample_130	2.32
Sample_40	2.24
Sample_73	2.23
Sample_139	2.25
Sample_33	2.15
Sample_66	2.10
Sample_186	2.23
Sample_152	2.08
Sample_13	2.10
Sample_116	2.21
Sample_87	2.24
Sample_23	2.29
Sample_128	2.06
Sample_18	2.35
Sample_55	2.24
Sample_112	2.15
Sample_154	2.45
Sample_79	2.48
Sample_42	2.21
Sample_11	2.20
Sample_63	2.43
Sample_170	2.31
Sample_171	2.26
Sample_184	2.26
Sample_180	2.40
Sample_196	2.00
Sample_83	2.37
Sample_175	2.13
Sample_85	2.17
Sample_144	2.31
Sample_29	2.18
Sample_84	2.28
Sample_123	2.10
Sample_61	2.40
Sample_21	2.15
Sample_19	2.32
Sample_46	2.17
Sample_35	2.61
Sample_52	2.21
Sample_104	2.11
Sample_198	2.11
Sample_173	2.19
Sample_15	2.22
Sample_163	2.02
Sample_109	2.44
Sample_81	2.43
Sample_58	2.37
Sample_126	2.25
Sample_114	2.27
Sample_67	1.98
Sample_12	2.32
Sample_43	2.35
Sample_100	2.19
Sample_133	2.35
Sample_187	2.18
Sample_162	1.88
Sample_147	2.29
Sample_113	2.26
Sample_119	2.25
Sample_4	2.24
Sample_124	2.37
Sample_99	2.27
Sample_121	2.47
Sample_197	2.11
Sample_53	2.39
Sample_48	2.16
Sample_199	2.22
Sample_101	2.43
Sample_131	2.21
Sample_94	2.17
Sample_177	2.33
Sample_72	2.37
Sample_190	2.24
Sample_24	2.45
Sample_153	2.18
Sample_49	2.11
Sample_164	2.61
Sample_70	2.06
Sample_1	2.49
Sample_77	2.25
Sample_181	2.35
Sample_7	2.26
Sample_60	2.25
Sample_134	2.43
Sample_3	2.50
Sample_111	2.23
Sample_6	2.61
Sample_69	2.15
Sample_50	2.28
Sample_140	2.40
Sample_167	2.30
Sample_56	2.21
Sample_80	2.25
Sample_193	2.29
Sample_117	2.36
Sample_157	2.35
Sample_120	2.24
Sample_54	2.31
Sample_183	2.13
Sample_136	2.36
Sample_165	2.34
Sample_65	2.42
Sample_90	2.37
Sample_36	2.16
Sample_115	2.39
Sample_188	2.14
Sample_103	2.22
Sample_151	2.49
Sample_2	2.08
Sample_88	2.27
Sample_92	2.38
Sample_192	2.22
Sample_178	2.26
Sample_10	2.32
Sample_98	2.35
Sample_76	2.15
Sample_191	2.41
Sample_27	2.50
Sample_68	2.36
Sample_195	2.28
Sample_142	2.49
Sample_108	2.25
Sample_47	2.28
Sample_64	2.38
Sample_9	2.34
Sample_74	2.31
Sample_14	2.35
Sample_25	2.24
Sample_145	2.11
Sample_155	2.12
Sample_96	2.28
Sample_110	2.34
Sample_20	2.22
